###################type###################
###################nucleosome#yes bp###################
2005	2
2008	3
2010	4
2011	6
2012	1
2013	3
2014	6
2015	10
2016	9
2017	6
2018	2
###################nucleosome#no bp###################
1991	1
1997	1
1999	1
2000	3
2001	1
2002	6
2003	11
2004	4
2005	6
2006	2
2007	3
2008	2
2009	4
2010	14
2011	22
2013	13
2014	9
2015	26
2016	12
2017	17
2018	3
###################histone#yes bp###################
1999	1
2000	1
2001	2
2002	3
2003	8
2004	4
2005	9
2006	29
2007	34
2008	11
2009	23
2010	40
2011	49
2012	32
2013	23
2014	38
2015	33
2016	49
2017	37
###################histone#no bp###################
1993	1
2002	1
2003	2
2005	1
2006	1
2009	2
2010	4
2012	2
2013	1
2016	1
2018	1
