Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#3 - b9ru15	superfamily	328929	61	106	6.06603e-14	66.9507	cl22851	PHD_SF superfamily	 - 	 - 
Q#3 - b9ru15	specific	214614	240	362	9.68995e-12	62.3519	smart00317	SET	 - 	cl02566
Q#4 - f7bjb9	specific	311439	409	446	1.19322e-16	76.9841	pfam07496	zf-CW	 - 	cl06504
Q#4 - f7bjb9	superfamily	320747	29	142	4.5154e-14	71.5777	cl00075	HATPase_c superfamily	 - 	 - 
Q#4 - f7bjb9	superfamily	330553	698	879	2.05624e-06	51.5959	cl25732	SMC_N superfamily	C	 - 
Q#9 - o00512	superfamily	331285	571	1186	2.08326e-16	85.3752	cl26464	Atrophin-1 superfamily	N	 - 
Q#9 - o00512	specific	314416	350	388	2.36259e-11	62.034	pfam11502	BCL9	 - 	cl13019
Q#10 - o14646	superfamily	331286	464	1000	5.0344e-160	519.357	cl26465	SNF2_N superfamily	C	 - 
Q#10 - o14646	specific	316429	1408	1498	1.1489e-31	122.713	pfam13907	DUF4208	 - 	cl16467
Q#10 - o14646	specific	306815	389	443	9.39847e-11	61.1141	pfam00385	Chromo	 - 	cl17459
Q#10 - o14646	specific	237991	306	355	4.35467e-10	59.1999	cd00024	CHROMO	 - 	cl17459
Q#10 - o14646	specific	312240	1584	1693	8.95586e-05	44.774	pfam08648	DUF1777	C	cl26278
Q#10 - o14646	superfamily	310000	1281	1401	0.00162145	43.1673	cl25851	AF-4 superfamily	NC	 - 
Q#11 - o14744	specific	310055	183	619	0	746.768	pfam05185	PRMT5	 - 	cl27061
Q#12 - o15054	specific	202224	1377	1485	4.40114e-37	138.968	pfam02373	JmjC	 - 	cl21464
Q#12 - o15054	specific	214721	1343	1407	4.77351e-07	50.3284	smart00558	JmjC	 - 	cl21464
Q#12 - o15054	superfamily	331068	572	718	0.00139993	42.8744	cl26247	DNA_pol3_delta2 superfamily	N	 - 
Q#13 - o15164	specific	99934	900	1007	1.20903e-55	190.195	cd05502	Bromo_tif1_like	 - 	cl02556
Q#13 - o15164	specific	128778	266	392	3.12077e-37	138.552	smart00502	BBC	 - 	cl25407
Q#13 - o15164	specific	319678	53	134	1.68275e-36	134.75	cd16764	RING-HC_TIF1alpha	 - 	cl17238
Q#13 - o15164	specific	277092	828	870	6.46333e-25	100.911	cd15622	PHD_TIF1alpha	 - 	cl22851
Q#13 - o15164	specific	237988	221	259	4.31071e-11	60.7639	cd00021	BBOX	 - 	cl00034
Q#13 - o15164	specific	197662	158	194	0.000304316	41.1687	smart00336	BBOX	 - 	cl00034
Q#13 - o15164	superfamily	330585	430	564	0.0026968	41.5314	cl25764	PAT1 superfamily	NC	 - 
Q#14 - o15392	specific	306999	18	87	1.48245e-28	102.337	pfam00653	BIR	 - 	cl00035
Q#15 - o15550	specific	202224	1133	1241	1.03709e-37	140.123	pfam02373	JmjC	 - 	cl21464
Q#15 - o15550	specific	223533	106	399	1.17407e-17	85.6681	COG0457	TPR	 - 	cl26002
Q#15 - o15550	specific	214721	1099	1163	1.8167e-07	51.0988	smart00558	JmjC	 - 	cl21464
Q#16 - o28597	specific	234777	1	242	7.09194e-140	396.472	PRK00481	PRK00481	 - 	cl00195
Q#17 - o30124	specific	238704	12	234	3.74242e-139	394.043	cd01413	SIR2_Af2	 - 	cl00195
Q#18 - o41094	specific	214614	5	110	1.89777e-23	87.3899	smart00317	SET	 - 	cl02566
Q#19 - o43791	specific	239743	28	166	4.69131e-92	275.965	cd03774	MATH_SPOP	 - 	cl02446
Q#19 - o43791	specific	306997	190	297	2.55269e-36	130.078	pfam00651	BTB	 - 	cl02518
Q#19 - o43791	specific	269807	297	359	1.71966e-25	98.7489	cd14734	SPOP_C	 - 	cl06652
Q#20 - o60341	superfamily	332356	183	825	6.64476e-126	401.677	cl27535	Amino_oxidase superfamily	 - 	 - 
Q#20 - o60341	superfamily	332796	23	98	0.00112739	42.3616	cl27975	EBV-NA3 superfamily	NC	 - 
Q#21 - o60885	specific	99929	58	164	1.07315e-74	245.024	cd05497	Bromo_Brdt_I_like	 - 	cl02556
Q#21 - o60885	specific	99930	353	454	3.71985e-64	215.22	cd05498	Bromo_Brdt_II_like	 - 	cl02556
Q#21 - o60885	specific	319097	609	673	3.67943e-27	108.328	pfam17035	BET	 - 	cl25276
Q#21 - o60885	specific	319127	1321	1362	3.68722e-08	53.1261	pfam17105	BRD4_CDT	 - 	cl25332
Q#21 - o60885	superfamily	331990	809	922	0.00286474	41.1742	cl27169	ZipA superfamily	NC	 - 
Q#21 - o60885	superfamily	330563	1230	1271	0.00454212	40.6532	cl25742	ERM superfamily	N	 - 
Q#22 - o74515	specific	227466	1	174	4.26388e-104	307.693	COG5137	COG5137	C	cl22451
Q#23 - o75164	specific	277183	775	884	1.68478e-77	250.66	cd15713	ePHD_JMJD2A	 - 	cl22851
Q#23 - o75164	specific	277050	667	766	7.63312e-62	207.063	cd15575	PHD_JMJD2A	 - 	cl22851
Q#23 - o75164	specific	202224	175	291	8.19263e-49	170.939	pfam02373	JmjC	 - 	cl21464
Q#23 - o75164	specific	128818	13	55	3.49995e-15	72.6806	smart00545	JmjN	 - 	cl15840
Q#23 - o75164	specific	197660	955	1010	1.00197e-10	60.3652	smart00333	TUDOR	 - 	cl02573
Q#23 - o75164	specific	197660	897	953	2.22083e-09	56.5132	smart00333	TUDOR	 - 	cl02573
Q#24 - o75530	superfamily	330360	150	438	1.05959e-22	97.4056	cl25539	WD40 superfamily	 - 	 - 
Q#25 - o94953	specific	277184	797	906	7.81247e-79	254.862	cd15714	ePHD_JMJD2B	 - 	cl22851
Q#25 - o94953	specific	277051	683	788	8.96209e-61	204.371	cd15576	PHD_JMJD2B	 - 	cl22851
Q#25 - o94953	specific	202224	176	292	1.17312e-50	176.332	pfam02373	JmjC	 - 	cl21464
Q#25 - o94953	specific	128818	15	56	1.6015e-13	68.0582	smart00545	JmjN	 - 	cl15840
Q#25 - o94953	specific	197660	921	973	2.66e-09	56.128	smart00333	TUDOR	 - 	cl02573
Q#25 - o94953	specific	197660	975	1030	1.21678e-08	54.202	smart00333	TUDOR	 - 	cl02573
Q#25 - o94953	superfamily	178748	474	744	0.000810718	42.9911	cl25752	PLN03209 superfamily	N	 - 
Q#26 - o95503	specific	214605	10	62	2.10973e-14	68.7796	smart00298	CHROMO	 - 	cl17459
Q#26 - o95503	specific	319236	357	388	2.71183e-12	62.2213	pfam17218	CBX7_C	 - 	cl28868
Q#26 - o95503	superfamily	331207	237	331	0.00236759	40.0828	cl26386	DNA_pol3_gamma3 superfamily	NC	 - 
Q#27 - o95619	specific	308783	44	123	1.36993e-28	105.273	pfam03366	YEATS	 - 	cl19881
Q#28 - o95931	specific	214605	10	62	1.60235e-14	66.4684	smart00298	CHROMO	 - 	cl17459
Q#28 - o95931	specific	319236	209	240	1.8009e-08	49.8949	pfam17218	CBX7_C	 - 	cl28868
Q#29 - p01903	specific	143244	111	204	2.44992e-55	175.991	cd05767	IgC_MHC_II_alpha	 - 	cl11960
Q#29 - p01903	specific	307229	29	106	1.92859e-40	136.911	pfam00993	MHC_II_alpha	 - 	cl03058
Q#29 - p01903	specific	318436	201	253	1.08313e-16	72.6797	pfam16196	C1-set_C	 - 	cl24693
Q#30 - p05205	specific	197638	141	202	1.76291e-25	95.901	smart00300	ChSh	 - 	cl00044
Q#30 - p05205	specific	237991	24	72	1.41607e-14	66.1335	cd00024	CHROMO	 - 	cl17459
Q#31 - p13760	specific	143243	126	219	4.24332e-47	155.252	cd05766	IgC_MHC_II_beta	 - 	cl11960
Q#31 - p13760	specific	307218	43	116	1.612e-45	150.531	pfam00969	MHC_II_beta	 - 	cl03042
Q#32 - p17693	specific	278555	25	203	1.22238e-122	354.006	pfam00129	MHC_I	 - 	cl08246
Q#32 - p17693	specific	143322	207	298	2.18075e-42	144.738	cd07698	IgC_MHC_I_alpha3	 - 	cl11960
Q#33 - p21675	specific	314945	565	1028	0	704.686	pfam12157	DUF3591	 - 	cl26387
Q#33 - p21675	specific	99943	1507	1619	4.94097e-59	202.109	cd05511	Bromo_TFIID	 - 	cl02556
Q#33 - p21675	specific	99943	1385	1496	3.54625e-55	190.938	cd05511	Bromo_TFIID	 - 	cl02556
Q#33 - p21675	specific	312672	29	86	2.48504e-14	71.5114	pfam09247	TBP-binding	 - 	cl07760
Q#33 - p21675	specific	317662	1261	1296	3.90336e-12	64.6867	pfam15288	zf-CCHC_6	 - 	cl21136
Q#33 - p21675	specific	317234	1719	1810	0.000687431	41.5031	pfam14797	SEEEED	N	cl25846
Q#34 - p21784	specific	308614	51	388	0	687.237	pfam03089	RAG2	 - 	cl28748
Q#34 - p21784	specific	315910	414	491	8.58206e-51	170.741	pfam13341	RAG2_PHD	 - 	cl22851
Q#35 - p23497	specific	308673	49	147	1.41559e-58	196.197	pfam03172	HSR	 - 	cl03917
Q#35 - p23497	specific	307487	600	675	2.57497e-38	139.239	pfam01342	SAND	 - 	cl02536
Q#35 - p23497	specific	278906	769	818	2.09135e-13	68.021	pfam00505	HMG_box	C	cl00082
Q#35 - p23497	superfamily	320749	699	752	2.01683e-12	65.116	cl00082	HMG-box superfamily	N	 - 
Q#36 - p25293	specific	307208	95	362	3.91811e-89	272.886	pfam00956	NAP	 - 	cl08298
Q#37 - p25440	specific	99929	74	180	1.08328e-77	248.49	cd05497	Bromo_Brdt_I_like	 - 	cl02556
Q#37 - p25440	specific	99930	349	450	5.83809e-66	216.376	cd05498	Bromo_Brdt_II_like	 - 	cl02556
Q#37 - p25440	specific	319097	641	703	7.34552e-27	106.017	pfam17035	BET	 - 	cl25276
Q#37 - p25440	superfamily	331285	216	333	0.00380472	40.6921	cl26464	Atrophin-1 superfamily	N	 - 
Q#38 - p26017	specific	214605	25	77	3.35788e-15	70.7056	smart00298	CHROMO	 - 	cl17459
Q#38 - p26017	specific	319236	341	373	1.32467e-08	51.8209	pfam17218	CBX7_C	 - 	cl28868
Q#39 - p26358	specific	240062	965	1101	2.05267e-89	289.012	cd04711	BAH_Dnmt1_II	 - 	cl02608
Q#39 - p26358	specific	240107	754	877	3.54388e-71	236.589	cd04760	BAH_Dnmt1_I	 - 	cl02608
Q#39 - p26358	specific	314857	402	532	4.46705e-53	185.621	pfam12047	DNMT1-RFD	 - 	cl13480
Q#39 - p26358	specific	223348	1138	1592	5.65266e-44	166.068	COG0270	Dcm	 - 	cl28499
Q#39 - p26358	specific	283995	16	105	4.26219e-26	106.739	pfam06464	DMAP_binding	 - 	cl05791
Q#39 - p26358	specific	251032	645	691	6.76924e-18	81.6236	pfam02008	zf-CXXC	 - 	cl03401
Q#39 - p26358	superfamily	313469	108	346	1.6883e-05	49.0884	cl25761	MIP-T3 superfamily	C	 - 
Q#40 - p29375	specific	312061	741	1070	1.70913e-119	381.133	pfam08429	PLU-1	 - 	cl26755
Q#40 - p29375	specific	202224	470	586	4.70428e-54	187.503	pfam02373	JmjC	 - 	cl21464
Q#40 - p29375	specific	277156	1608	1659	4.37936e-31	119.79	cd15686	PHD3_KDM5A	 - 	cl22851
Q#40 - p29375	specific	277075	295	343	1.22956e-30	118.129	cd15602	PHD1_KDM5A	 - 	cl22851
Q#40 - p29375	specific	198082	85	170	1.90375e-28	113.095	smart01014	ARID	 - 	cl02633
Q#40 - p29375	specific	277079	1163	1215	7.48416e-24	99.0492	cd15606	PHD2_KDM5A	 - 	cl22851
Q#40 - p29375	specific	128818	18	59	1.10087e-17	80.7698	smart00545	JmjN	 - 	cl15840
Q#40 - p29375	specific	308530	676	728	1.7769e-17	80.3117	pfam02928	zf-C5HC2	 - 	cl03786
Q#41 - p32447	specific	309739	1	154	1.83808e-105	307.112	pfam04729	ASF1_hist_chap	 - 	cl22451
Q#42 - p35189	specific	227366	2	242	1.54014e-97	288.241	COG5033	TFG3	 - 	cl19881
Q#43 - p36124	specific	225491	217	722	9.38458e-93	301.357	COG2940	SET	 - 	cl02566
Q#43 - p36124	specific	277025	119	163	3.91765e-21	89.2994	cd15550	PHD_MLL5	 - 	cl22851
Q#44 - p38806	specific	227367	1	272	2.97766e-113	331.516	COG5034	TNG2	 - 	cl26267
Q#45 - p38850	specific	318886	948	1054	7.27139e-47	165.157	pfam16771	RTT107_BRCT_6	 - 	cl25099
Q#45 - p38850	specific	318885	820	919	2.50205e-26	106.493	pfam16770	RTT107_BRCT_5	 - 	cl00038
Q#45 - p38850	specific	315420	380	448	2.96791e-14	70.6786	pfam12738	PTCB-BRCT	 - 	cl00038
Q#45 - p38850	superfamily	331332	580	824	1.35622e-06	52.4507	cl26511	Neuromodulin_N superfamily	N	 - 
Q#45 - p38850	specific	306918	117	213	2.44002e-05	44.6255	pfam00533	BRCT	 - 	cl00038
Q#45 - p38850	specific	306918	264	352	0.000214772	41.9291	pfam00533	BRCT	 - 	cl00038
Q#46 - p39984	specific	315035	12	82	1.18178e-26	102.245	pfam12265	CAF1C_H4-bd	 - 	cl13671
Q#46 - p39984	specific	225201	116	401	2.77372e-25	106.711	COG2319	WD40	N	cl25539
Q#47 - p42568	specific	308783	29	109	2.18385e-33	123.378	pfam03366	YEATS	 - 	cl19881
Q#48 - p43572	specific	313692	56	197	2.72625e-25	104.353	pfam10513	EPL1	 - 	cl26518
Q#49 - p46100	specific	306645	1563	1889	1.36818e-98	323.965	pfam00176	SNF2_N	 - 	cl26465
Q#49 - p46100	specific	277252	167	270	1.17166e-55	192.521	cd11726	ADDz_ATRX	 - 	cl28890
Q#49 - p46100	specific	238034	2017	2163	1.74637e-21	94.9972	cd00079	HELICc	 - 	cl21455
Q#49 - p46100	superfamily	331332	791	1438	0.00235715	43.2059	cl26511	Neuromodulin_N superfamily	N	 - 
Q#49 - p46100	superfamily	330395	642	857	0.0027267	43.1112	cl25574	TOP2c superfamily	N	 - 
Q#50 - p47128	specific	312740	14	103	5.21342e-24	89.4998	pfam09340	NuA4	 - 	cl07829
Q#51 - p49736	specific	214631	291	803	0	818.041	smart00350	MCM	 - 	cl25443
Q#51 - p49736	specific	317013	199	287	1.22799e-20	89.6165	pfam14551	MCM_N	 - 	cl20563
Q#51 - p49736	superfamily	315318	73	182	1.44442e-14	73.1986	cl13991	MCM2_N superfamily	 - 	 - 
Q#52 - p53686	specific	238699	26	277	3.30806e-136	391.609	cd01408	SIRT1	 - 	cl00195
Q#53 - p53853	superfamily	324231	19	148	6.00643e-05	42.9217	cl08298	NAP superfamily	C	 - 
Q#54 - p53930	specific	227366	1	226	4.53903e-101	296.33	COG5033	TFG3	 - 	cl19881
Q#55 - p55197	specific	277178	78	206	3.25175e-91	290.056	cd15708	ePHD_AF10	 - 	cl22851
Q#55 - p55197	specific	277049	24	71	3.34929e-35	130.325	cd15574	PHD_AF10_AF17	 - 	cl22851
Q#56 - p55201	specific	277171	330	450	1.6253e-91	291.597	cd15701	ePHD_BRPF1	 - 	cl22851
Q#56 - p55201	superfamily	331339	174	657	5.98153e-91	309.991	cl26518	EPL1 superfamily	 - 	 - 
Q#56 - p55201	specific	99900	1083	1198	5.09653e-62	208.9	cd05839	BR140_related	 - 	cl02554
Q#56 - p55201	specific	99944	632	729	8.48154e-62	207.637	cd05512	Bromo_brd1_like	 - 	cl02556
Q#56 - p55201	superfamily	227516	20	52	0.00136787	42.3975	cl25788	SFP1 superfamily	N	 - 
Q#57 - p59997	specific	277113	619	675	2.62868e-37	136.687	cd15643	PHD_KDM2A	 - 	cl22851
Q#57 - p59997	specific	251032	576	609	2.45939e-10	59.282	pfam02008	zf-CXXC	N	cl03401
Q#57 - p59997	superfamily	328732	199	299	2.91524e-09	57.3056	cl21464	cupin_like superfamily	 - 	 - 
Q#57 - p59997	superfamily	332986	931	1137	3.99308e-09	58.1076	cl28166	AMN1 superfamily	 - 	 - 
Q#57 - p59997	specific	315592	895	933	7.94783e-09	54.7961	pfam12937	F-box-like	 - 	cl02535
Q#58 - p61769	specific	143247	24	116	1.42919e-57	176.518	cd05770	IgC_beta2m	 - 	cl11960
Q#59 - p61964	specific	238121	37	331	6.00507e-105	312.732	cd00200	WD40	 - 	cl25539
Q#60 - p61965	specific	238121	37	331	6.00507e-105	312.732	cd00200	WD40	 - 	cl25539
Q#61 - p62979	specific	176398	1	76	1.39277e-53	167.354	cd01803	Ubiquitin	 - 	cl00155
Q#61 - p62979	specific	307640	103	147	2.89057e-25	93.4004	pfam01599	Ribosomal_S27	 - 	cl00876
Q#62 - p63104	specific	206758	2	230	5.05508e-168	467.238	cd10022	14-3-3_beta_zeta	 - 	cl02098
Q#63 - p83916	specific	307518	118	170	4.71997e-32	112.237	pfam01393	Chromo_shadow	 - 	cl00044
