structureId,chainId,compound,source,uniprotAcc,uniprotRecommendedName
"1K5M","A","COAT PROTEIN VP1 (P1D)","Rhinovirus B","P03303","Genome polyprotein"
"1K5M","B","CHIMERA OF HRV14 COAT PROTEIN VP2 (P1B) AND the V3 loop of HIV-1 gp120","Human immunodeficiency virus 1,Rhinovirus B","P03303#P05877","P03303:#Genome polyprotein#P05877:#Envelope glycoprotein gp160"
"1K5M","C","COAT PROTEIN VP3 (P1C)","Rhinovirus B","P03303","Genome polyprotein"
"1K5M","D","COAT PROTEIN VP4 (P1A)","Rhinovirus B","P03303","Genome polyprotein"
"1PUO","A","Major allergen I polypeptide, fused chain 2, chain 1","Felis catus","P30438#P30440","P30438:#Major allergen I polypeptide chain 1#P30440:#Major allergen I polypeptide chain 2"
"1PUO","B","Major allergen I polypeptide, fused chain 2, chain 1","Felis catus","P30438#P30440","P30438:#Major allergen I polypeptide chain 1#P30440:#Major allergen I polypeptide chain 2"
"2IDC","A","ANTI-SILENCING PROTEIN 1 AND HISTONE H3 CHIMERA","Saccharomyces cerevisiae","P32447#P61830","P32447:#Histone chaperone ASF1#P61830:#Histone H3"
"2JSS","A","Chimera of Histone H2B.1 and Histone H2A.Z","Saccharomyces cerevisiae","P02293#Q12692","P02293:#Histone H2B.1#Q12692:#Histone H2A.Z"
"2JSS","B","Uncharacterized protein YER030W","Saccharomyces cerevisiae","P40019","Histone H2A.Z-specific chaperone CHZ1"
"2L43","A","N-teminal domain from Histone H3.3, LINKER, PHD1 domain from Bromodomain-containing protein 1","Homo sapiens,synthetic construct","O95696#P84243","O95696:#Bromodomain-containing protein 1#P84243:#Histone H3.3"
"2L5A","A","Histone H3-like centromeric protein CSE4, Protein SCM3, Histone H4","Saccharomyces cerevisiae","P02309#P36012#Q12334","P02309:#Histone H4#P36012:#Histone H3-like centromeric protein CSE4#Q12334:#Protein SCM3"
"2LHI","A","Calmodulin, Serine/threonine-protein phosphatase 2B catalytic subunit A1","Saccharomyces cerevisiae,synthetic construct","P06787#P23287","P06787:#Calmodulin#P23287:#Serine/threonine-protein phosphatase 2B catalytic subunit A1"
"2LM0","A","AF4/FMR2 family member 1/Protein AF-9 chimera","Homo sapiens","P42568#P51825","P42568:#Protein AF-9#P51825:#AF4/FMR2 family member 1"
"2MTN","A","Histone-lysine N-methyltransferase 2A, PC4 and SFRS1-interacting protein fusion","Homo sapiens","O75475#Q03164","O75475:#PC4 and SFRS1-interacting protein#Q03164:#Histone-lysine N-methyltransferase 2A"
"2NA1","A","Polycomb complex protein BMI-1, Polyhomeotic-like 2","Homo sapiens,Mus musculus","P35226#Q9QWH1","P35226:#Polycomb complex protein BMI-1#Q9QWH1:#Polyhomeotic-like protein 2"
"2QKS","A","Kir3.1-prokaryotic Kir channel chimera","Mus musculus,Paraburkholderia xenovorans","P63250#Q146M9","P63250:#G protein-activated inward rectifier potassium channel 1#null"
"2QKS","B","Kir3.1-prokaryotic Kir channel chimera","Mus musculus,Paraburkholderia xenovorans","P63250#Q146M9","P63250:#G protein-activated inward rectifier potassium channel 1#null"
"2XB1","A","PYGOPUS HOMOLOG 2, B-CELL CLL/LYMPHOMA 9-LIKE PROTEIN","Homo sapiens","Q86UU0#Q9BRQ0","Q86UU0:#B-cell CLL/lymphoma 9-like protein#Q9BRQ0:#Pygopus homolog 2"
"2XB1","C","PYGOPUS HOMOLOG 2, B-CELL CLL/LYMPHOMA 9-LIKE PROTEIN","Homo sapiens","Q86UU0#Q9BRQ0","Q86UU0:#B-cell CLL/lymphoma 9-like protein#Q9BRQ0:#Pygopus homolog 2"
"3A1B","A","DNA (cytosine-5)-methyltransferase 3A, Histone H3.1","Homo sapiens","P68431#Q9Y6K1","P68431:#Histone H3.1#Q9Y6K1:#DNA (cytosine-5)-methyltransferase 3A"
"3CTB","A","Pregnane X receptor, Linker, Steroid receptor coactivator 1","Homo sapiens","O75469#Q15788","O75469:#Nuclear receptor subfamily 1 group I member 2#Q15788:#Nuclear receptor coactivator 1"
"3CTB","B","Pregnane X receptor, Linker, Steroid receptor coactivator 1","Homo sapiens","O75469#Q15788","O75469:#Nuclear receptor subfamily 1 group I member 2#Q15788:#Nuclear receptor coactivator 1"
"3GD7","A","Fusion complex of Cystic fibrosis transmembrane conductance regulator, residues 1193-1427 and Maltose/maltodextrin import ATP-binding protein malK, residues 219-371","Escherichia coli,Homo sapiens","P13569#P68187","P13569:#Cystic fibrosis transmembrane conductance regulator#P68187:#Maltose/maltodextrin import ATP-binding protein MalK"
"3GD7","B","Fusion complex of Cystic fibrosis transmembrane conductance regulator, residues 1193-1427 and Maltose/maltodextrin import ATP-binding protein malK, residues 219-371","Escherichia coli,Homo sapiens","P13569#P68187","P13569:#Cystic fibrosis transmembrane conductance regulator#P68187:#Maltose/maltodextrin import ATP-binding protein MalK"
"3GD7","C","Fusion complex of Cystic fibrosis transmembrane conductance regulator, residues 1193-1427 and Maltose/maltodextrin import ATP-binding protein malK, residues 219-371","Escherichia coli,Homo sapiens","P13569#P68187","P13569:#Cystic fibrosis transmembrane conductance regulator#P68187:#Maltose/maltodextrin import ATP-binding protein MalK"
"3GD7","D","Fusion complex of Cystic fibrosis transmembrane conductance regulator, residues 1193-1427 and Maltose/maltodextrin import ATP-binding protein malK, residues 219-371","Escherichia coli,Homo sapiens","P13569#P68187","P13569:#Cystic fibrosis transmembrane conductance regulator#P68187:#Maltose/maltodextrin import ATP-binding protein MalK"
"3HVL","A","Pregnane X receptor, Linker, Steroid receptor coactivator 1","Homo sapiens","O75469#Q15788","O75469:#Nuclear receptor subfamily 1 group I member 2#Q15788:#Nuclear receptor coactivator 1"
"3HVL","B","Pregnane X receptor, Linker, Steroid receptor coactivator 1","Homo sapiens","O75469#Q15788","O75469:#Nuclear receptor subfamily 1 group I member 2#Q15788:#Nuclear receptor coactivator 1"
"3HYF","A","Reverse transcriptase/RNaseH","Escherichia coli,Human immunodeficiency virus 1","P0A7Y4#Q72547","P0A7Y4:#Ribonuclease HI#null"
"3J9P","A","Maltose-binding periplasmic protein, Transient receptor potential cation channel subfamily A member 1 chimera","Escherichia coli,Homo sapiens","O75762#P0AEX9","O75762:#Transient receptor potential cation channel subfamily A member 1#P0AEX9:#Maltose/maltodextrin-binding periplasmic protein"
"3J9P","B","Maltose-binding periplasmic protein, Transient receptor potential cation channel subfamily A member 1 chimera","Escherichia coli,Homo sapiens","O75762#P0AEX9","O75762:#Transient receptor potential cation channel subfamily A member 1#P0AEX9:#Maltose/maltodextrin-binding periplasmic protein"
