Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - 1ZLAA	specific	185400	1	135	3.68097e-85	248.666	PTZ00018	PTZ00018	 - 	cl23735
Q#2 - 1ZLAB	specific	177669	1	102	9.9094e-52	161.154	PLN00035	PLN00035	 - 	cl25876
Q#3 - 1ZLAC	specific	185399	1	129	2.37479e-68	205.749	PTZ00017	PTZ00017	 - 	cl25693
Q#4 - 1ZLAD	specific	197718	27	123	5.15751e-52	162.686	smart00427	H2B	 - 	cl23830
Q#5 - 1ZLAE	specific	185400	1	135	3.68097e-85	248.666	PTZ00018	PTZ00018	 - 	cl23735
Q#6 - 1ZLAF	specific	177669	1	102	9.9094e-52	161.154	PLN00035	PLN00035	 - 	cl25876
Q#7 - 1ZLAG	specific	185399	1	129	2.37479e-68	205.749	PTZ00017	PTZ00017	 - 	cl25693
Q#8 - 1ZLAH	specific	197718	27	123	5.15751e-52	162.686	smart00427	H2B	 - 	cl23830
Q#12 - 3MVDA	specific	185400	1	135	5.88537e-86	250.592	PTZ00018	PTZ00018	 - 	cl23735
Q#13 - 3MVDB	specific	177669	1	102	9.9094e-52	161.154	PLN00035	PLN00035	 - 	cl25876
Q#14 - 3MVDC	specific	185399	1	129	2.88901e-68	205.364	PTZ00017	PTZ00017	 - 	cl25693
Q#15 - 3MVDD	specific	197718	24	120	2.32305e-51	160.76	smart00427	H2B	 - 	cl23830
Q#16 - 3MVDE	specific	185400	1	135	5.88537e-86	250.592	PTZ00018	PTZ00018	 - 	cl23735
Q#17 - 3MVDF	specific	177669	1	102	9.9094e-52	161.154	PLN00035	PLN00035	 - 	cl25876
Q#18 - 3MVDG	specific	185399	1	129	2.88901e-68	205.364	PTZ00017	PTZ00017	 - 	cl25693
Q#19 - 3MVDH	specific	197718	24	120	2.32305e-51	160.76	smart00427	H2B	 - 	cl23830
Q#22 - 3MVDK	superfamily	332518	34	410	9.98681e-54	188.508	cl27697	RCC1 superfamily	 - 	 - 
Q#23 - 3MVDL	superfamily	332518	34	410	9.98681e-54	188.508	cl27697	RCC1 superfamily	 - 	 - 
Q#24 - 3TU4A	specific	185400	1	135	5.88537e-86	250.592	PTZ00018	PTZ00018	 - 	cl23735
