structureId,chainId,structureTitle,pdbDoi,entityId,ligandId,ligandName,InChI,InChIKey,hetId,IC50,deltaG,uniprotAcc,uniprotRecommendedName,uniprotAlternativeNames
1AOI,A,"COMPLEX BETWEEN NUCLEOSOME CORE PARTICLE (H3,H4,H2A,H2B) AND 146 BP LONG DNA FRAGMENT",10.2210/pdb1aoi/pdb,2,,,,,,,,P02302,Histone H3.3C,
1AOI,B,"COMPLEX BETWEEN NUCLEOSOME CORE PARTICLE (H3,H4,H2A,H2B) AND 146 BP LONG DNA FRAGMENT",10.2210/pdb1aoi/pdb,3,,,,,,,,P62799,Histone H4,
1AOI,C,"COMPLEX BETWEEN NUCLEOSOME CORE PARTICLE (H3,H4,H2A,H2B) AND 146 BP LONG DNA FRAGMENT",10.2210/pdb1aoi/pdb,4,,,,,,,,P06897,Histone H2A type 1,
1AOI,D,"COMPLEX BETWEEN NUCLEOSOME CORE PARTICLE (H3,H4,H2A,H2B) AND 146 BP LONG DNA FRAGMENT",10.2210/pdb1aoi/pdb,5,,,,,,,,P02281,Histone H2B 1.1,
1AOI,E,"COMPLEX BETWEEN NUCLEOSOME CORE PARTICLE (H3,H4,H2A,H2B) AND 146 BP LONG DNA FRAGMENT",10.2210/pdb1aoi/pdb,2,,,,,,,,P02302,Histone H3.3C,
1AOI,F,"COMPLEX BETWEEN NUCLEOSOME CORE PARTICLE (H3,H4,H2A,H2B) AND 146 BP LONG DNA FRAGMENT",10.2210/pdb1aoi/pdb,3,,,,,,,,P62799,Histone H4,
1AOI,G,"COMPLEX BETWEEN NUCLEOSOME CORE PARTICLE (H3,H4,H2A,H2B) AND 146 BP LONG DNA FRAGMENT",10.2210/pdb1aoi/pdb,4,,,,,,,,P06897,Histone H2A type 1,
1AOI,H,"COMPLEX BETWEEN NUCLEOSOME CORE PARTICLE (H3,H4,H2A,H2B) AND 146 BP LONG DNA FRAGMENT",10.2210/pdb1aoi/pdb,5,,,,,,,,P02281,Histone H2B 1.1,
1AOI,I,"COMPLEX BETWEEN NUCLEOSOME CORE PARTICLE (H3,H4,H2A,H2B) AND 146 BP LONG DNA FRAGMENT",10.2210/pdb1aoi/pdb,1,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
1AOI,J,"COMPLEX BETWEEN NUCLEOSOME CORE PARTICLE (H3,H4,H2A,H2B) AND 146 BP LONG DNA FRAGMENT",10.2210/pdb1aoi/pdb,1,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
1EQZ,A,X-RAY STRUCTURE OF THE NUCLEOSOME CORE PARTICLE AT 2.5 A RESOLUTION,10.2210/pdb1eqz/pdb,2,CL,CHLORIDE ION,InChI=1S/ClH/h1H/p-1,VEXZGXHMUGYJMC-UHFFFAOYSA-M,CL,,,P02263,Histone H2A-IV,
1EQZ,B,X-RAY STRUCTURE OF THE NUCLEOSOME CORE PARTICLE AT 2.5 A RESOLUTION,10.2210/pdb1eqz/pdb,3,,,,,,,,P0C1H5,Histone H2B 7,H2B VII
1EQZ,C,X-RAY STRUCTURE OF THE NUCLEOSOME CORE PARTICLE AT 2.5 A RESOLUTION,10.2210/pdb1eqz/pdb,4,,,,,,,,P84229,Histone H3.2,Histone H3 class I
1EQZ,D,X-RAY STRUCTURE OF THE NUCLEOSOME CORE PARTICLE AT 2.5 A RESOLUTION,10.2210/pdb1eqz/pdb,5,,,,,,,,P62801,Histone H4,
1EQZ,E,X-RAY STRUCTURE OF THE NUCLEOSOME CORE PARTICLE AT 2.5 A RESOLUTION,10.2210/pdb1eqz/pdb,2,CL,CHLORIDE ION,InChI=1S/ClH/h1H/p-1,VEXZGXHMUGYJMC-UHFFFAOYSA-M,CL,,,P02263,Histone H2A-IV,
1EQZ,F,X-RAY STRUCTURE OF THE NUCLEOSOME CORE PARTICLE AT 2.5 A RESOLUTION,10.2210/pdb1eqz/pdb,3,,,,,,,,P0C1H5,Histone H2B 7,H2B VII
1EQZ,G,X-RAY STRUCTURE OF THE NUCLEOSOME CORE PARTICLE AT 2.5 A RESOLUTION,10.2210/pdb1eqz/pdb,4,CAC,CACODYLATE ION,"InChI=1S/C2H7AsO2/c1-3(2,4)5/h1-2H3,(H,4,5)/p-1",OGGXGZAMXPVRFZ-UHFFFAOYSA-M,CAC,,,P84229,Histone H3.2,Histone H3 class I
1EQZ,H,X-RAY STRUCTURE OF THE NUCLEOSOME CORE PARTICLE AT 2.5 A RESOLUTION,10.2210/pdb1eqz/pdb,5,,,,,,,,P62801,Histone H4,
1EQZ,I,X-RAY STRUCTURE OF THE NUCLEOSOME CORE PARTICLE AT 2.5 A RESOLUTION,10.2210/pdb1eqz/pdb,1,K,POTASSIUM ION,InChI=1S/K/q+1,NPYPAHLBTDXSSS-UHFFFAOYSA-N,K,,,,,
1EQZ,I,X-RAY STRUCTURE OF THE NUCLEOSOME CORE PARTICLE AT 2.5 A RESOLUTION,10.2210/pdb1eqz/pdb,1,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
1EQZ,J,X-RAY STRUCTURE OF THE NUCLEOSOME CORE PARTICLE AT 2.5 A RESOLUTION,10.2210/pdb1eqz/pdb,1,K,POTASSIUM ION,InChI=1S/K/q+1,NPYPAHLBTDXSSS-UHFFFAOYSA-N,K,,,,,
1EQZ,J,X-RAY STRUCTURE OF THE NUCLEOSOME CORE PARTICLE AT 2.5 A RESOLUTION,10.2210/pdb1eqz/pdb,1,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
1F66,A,2.6 A CRYSTAL STRUCTURE OF A NUCLEOSOME CORE PARTICLE CONTAINING THE VARIANT HISTONE H2A.Z,10.2210/pdb1f66/pdb,2,,,,,,,,P84233,Histone H3.2,
1F66,B,2.6 A CRYSTAL STRUCTURE OF A NUCLEOSOME CORE PARTICLE CONTAINING THE VARIANT HISTONE H2A.Z,10.2210/pdb1f66/pdb,3,,,,,,,,P62806,Histone H4,
1F66,C,2.6 A CRYSTAL STRUCTURE OF A NUCLEOSOME CORE PARTICLE CONTAINING THE VARIANT HISTONE H2A.Z,10.2210/pdb1f66/pdb,4,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,P0C0S5,Histone H2A.Z,
1F66,D,2.6 A CRYSTAL STRUCTURE OF A NUCLEOSOME CORE PARTICLE CONTAINING THE VARIANT HISTONE H2A.Z,10.2210/pdb1f66/pdb,5,,,,,,,,P02281,Histone H2B 1.1,
1F66,E,2.6 A CRYSTAL STRUCTURE OF A NUCLEOSOME CORE PARTICLE CONTAINING THE VARIANT HISTONE H2A.Z,10.2210/pdb1f66/pdb,2,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,P84233,Histone H3.2,
1F66,F,2.6 A CRYSTAL STRUCTURE OF A NUCLEOSOME CORE PARTICLE CONTAINING THE VARIANT HISTONE H2A.Z,10.2210/pdb1f66/pdb,3,,,,,,,,P62806,Histone H4,
1F66,G,2.6 A CRYSTAL STRUCTURE OF A NUCLEOSOME CORE PARTICLE CONTAINING THE VARIANT HISTONE H2A.Z,10.2210/pdb1f66/pdb,4,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,P0C0S5,Histone H2A.Z,
1F66,H,2.6 A CRYSTAL STRUCTURE OF A NUCLEOSOME CORE PARTICLE CONTAINING THE VARIANT HISTONE H2A.Z,10.2210/pdb1f66/pdb,5,,,,,,,,P02281,Histone H2B 1.1,
1F66,I,2.6 A CRYSTAL STRUCTURE OF A NUCLEOSOME CORE PARTICLE CONTAINING THE VARIANT HISTONE H2A.Z,10.2210/pdb1f66/pdb,1,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
1F66,J,2.6 A CRYSTAL STRUCTURE OF A NUCLEOSOME CORE PARTICLE CONTAINING THE VARIANT HISTONE H2A.Z,10.2210/pdb1f66/pdb,1,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,,,
1ID3,A,CRYSTAL STRUCTURE OF THE YEAST NUCLEOSOME CORE PARTICLE REVEALS FUNDAMENTAL DIFFERENCES IN INTER-NUCLEOSOME INTERACTIONS,10.2210/pdb1id3/pdb,2,,,,,,,,P61830,Histone H3,
1ID3,B,CRYSTAL STRUCTURE OF THE YEAST NUCLEOSOME CORE PARTICLE REVEALS FUNDAMENTAL DIFFERENCES IN INTER-NUCLEOSOME INTERACTIONS,10.2210/pdb1id3/pdb,3,,,,,,,,P02309,Histone H4,
1ID3,C,CRYSTAL STRUCTURE OF THE YEAST NUCLEOSOME CORE PARTICLE REVEALS FUNDAMENTAL DIFFERENCES IN INTER-NUCLEOSOME INTERACTIONS,10.2210/pdb1id3/pdb,4,MN,MANGANESE (II) ION,InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,MN,,,P04911,Histone H2A.1,
