Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - 1AOIA	specific	185400	1	116	5.90681e-77	223.243	PTZ00018	PTZ00018	 - 	cl23735
Q#2 - 1AOIB	specific	185397	1	85	2.37415e-47	145.652	PTZ00015	PTZ00015	 - 	cl29688
Q#3 - 1AOIC	specific	238029	2	116	1.76916e-70	206.032	cd00074	H2A	 - 	cl30546
Q#4 - 1AOID	specific	197718	1	97	1.73541e-54	164.227	smart00427	H2B	 - 	cl23830
Q#5 - 1AOIE	specific	185400	1	116	5.90681e-77	223.243	PTZ00018	PTZ00018	 - 	cl23735
Q#6 - 1AOIF	specific	185397	1	85	2.37415e-47	145.652	PTZ00015	PTZ00015	 - 	cl29688
Q#7 - 1AOIG	specific	238029	2	116	1.76916e-70	206.032	cd00074	H2A	 - 	cl30546
Q#8 - 1AOIH	specific	197718	1	97	1.73541e-54	164.227	smart00427	H2B	 - 	cl23830
Q#11 - 1E6IA	specific	99941	13	113	2.30692e-57	172.354	cd05509	Bromo_gcn5_like	 - 	cl02556
Q#13 - 1EQZA	specific	185399	1	129	2.45982e-71	209.216	PTZ00017	PTZ00017	 - 	cl30549
Q#14 - 1EQZB	specific	197718	36	124	5.48678e-52	159.219	smart00427	H2B	 - 	cl23830
Q#15 - 1EQZC	specific	185400	1	136	3.04861e-90	257.526	PTZ00018	PTZ00018	 - 	cl23735
Q#16 - 1EQZD	specific	177669	1	103	4.32773e-54	163.465	PLN00035	PLN00035	 - 	cl29687
Q#17 - 1EQZE	specific	185399	1	129	2.45982e-71	209.216	PTZ00017	PTZ00017	 - 	cl30549
Q#18 - 1EQZF	specific	197718	36	124	5.48678e-52	159.219	smart00427	H2B	 - 	cl23830
Q#19 - 1EQZG	specific	185400	1	136	3.04861e-90	257.526	PTZ00018	PTZ00018	 - 	cl23735
Q#20 - 1EQZH	specific	177669	1	103	4.32773e-54	163.465	PLN00035	PLN00035	 - 	cl29687
Q#23 - 1F66A	specific	185400	1	136	2.77784e-87	250.207	PTZ00018	PTZ00018	 - 	cl23735
Q#24 - 1F66B	specific	177669	1	103	4.32773e-54	163.465	PLN00035	PLN00035	 - 	cl29687
Q#25 - 1F66C	superfamily	177756	6	121	1.06508e-63	190.155	cl30550	PLN00154 superfamily	 - 	 - 
Q#26 - 1F66D	specific	197718	28	124	7.37735e-54	163.842	smart00427	H2B	 - 	cl23830
Q#27 - 1F66E	specific	185400	1	136	2.77784e-87	250.207	PTZ00018	PTZ00018	 - 	cl23735
Q#28 - 1F66F	specific	177669	1	103	4.32773e-54	163.465	PLN00035	PLN00035	 - 	cl29687
Q#29 - 1F66G	superfamily	177756	6	121	1.06508e-63	190.155	cl30550	PLN00154 superfamily	 - 	 - 
Q#30 - 1F66H	specific	197718	28	124	7.37735e-54	163.842	smart00427	H2B	 - 	cl23830
Q#33 - 1GUWA	specific	349297	13	62	2.06214e-28	95.7815	cd18650	CD_HP1beta_Cbx1	 - 	cl28914
Q#33 - 1GUWA	multi-dom	334050	20	63	1.38273e-13	58.3679	pfam00385	Chromo	 - 	 - 
Q#34 - 1GUWB	superfamily	329044	1	16	0.0068424	29.8729	cl23735	H4 superfamily	C	 - 
Q#35 - 1HIOA	superfamily	185399	2	95	4.71785e-64	189.571	cl30549	PTZ00017 superfamily	 - 	 - 
Q#36 - 1HIOB	superfamily	355063	1	89	8.9461e-51	155.233	cl23830	H2B superfamily	N	 - 
