structureId,chainId,compound,source,uniprotAcc,uniprotRecommendedName
"1GHC","A","GH1","Gallus gallus","P08287","Histone H1.11L"
"1UHM","A","Histone H1","Saccharomyces cerevisiae","P53551","Histone H1"
"1YQA","A","Histone H1","Saccharomyces cerevisiae","P53551","Histone H1"
"2IIJ","A","ASF1A protein","Homo sapiens","Q9Y294","Histone chaperone ASF1A"
"2IIJ","B","Histone H3","Homo sapiens","Q71DI3","Histone H3.2"
"2JMJ","A","Protein YNG1","Saccharomyces cerevisiae","Q08465","Protein YNG1"
"2JMJ","P","Histone H3","Saccharomyces cerevisiae","P61830","Histone H3"
"2RNW","A","Histone acetyltransferase PCAF","Homo sapiens","Q92831","Histone acetyltransferase KAT2B"
"2RNW","B","Histone H3","Saccharomyces cerevisiae","P61830","Histone H3"
"2RNX","A","Histone acetyltransferase PCAF","Homo sapiens","Q92831","Histone acetyltransferase KAT2B"
"2RNX","B","Histone H3","Saccharomyces cerevisiae","P61830","Histone H3"
"2RNY","A","CREB-binding protein","Homo sapiens","Q92793","CREB-binding protein"
"2RNY","B","Histone H4","Homo sapiens","P62805","Histone H4"
"3C9K","A","Histone H2A-IV","Gallus gallus","P02263","Histone H2A-IV"
"3C9K","B","Histone H2B 7","Gallus gallus","P0C1H5","Histone H2B 7"
"3C9K","C","Histone H3.2","Gallus gallus","P84229","Histone H3.2"
"3C9K","D","Histone H4","Gallus gallus","P62801","Histone H4"
"3C9K","E","Histone H2A-IV","Gallus gallus","P02263","Histone H2A-IV"
"3C9K","F","Histone H2B 7","Gallus gallus","P0C1H5","Histone H2B 7"
"3C9K","G","Histone H3.2","Gallus gallus","P84229","Histone H3.2"
"3C9K","H","Histone H4","Gallus gallus","P62801","Histone H4"
"5VNB","A","YEATS domain-containing protein 4","Homo sapiens","O95619","YEATS domain-containing protein 4"
"5VNB","B","YEATS domain-containing protein 4","Homo sapiens","O95619","YEATS domain-containing protein 4"
"5VNB","C","YEATS domain-containing protein 4","Homo sapiens","O95619","YEATS domain-containing protein 4"
"5VNB","D","YEATS domain-containing protein 4","Homo sapiens","O95619","YEATS domain-containing protein 4"
"5VNB","K","H3K23acK27ac peptide","Homo sapiens","P68431","Histone H3.1"
"5WCU","A","Histone H3","Drosophila melanogaster","P02299","Histone H3"
"5WCU","B","Histone H4","Drosophila melanogaster","P84040","Histone H4"
"5WCU","C","Histone H2A","Drosophila melanogaster","P84051","Histone H2A"
"5WCU","D","Histone H2B","Drosophila melanogaster","P02283","Histone H2B"
"5WCU","E","Histone H3","Drosophila melanogaster","P02299","Histone H3"
"5WCU","F","Histone H4","Drosophila melanogaster","P84040","Histone H4"
"5WCU","G","Histone H2A","Drosophila melanogaster","P84051","Histone H2A"
"5WCU","H","Histone H2B","Drosophila melanogaster","P02283","Histone H2B"
"5WCU","I","DNA (167-MER)","synthetic construct","",""
"5WCU","J","DNA (167-MER)","synthetic construct","",""
"5WCU","K","Histone H3","Drosophila melanogaster","P02299","Histone H3"
