target_name	target_chain	target_uniprot	target_process	target_function	source_name	source_chain	source_uniprot	source_process	source_function	interface_PDBs	nucleosome/histone	atomic_contacts
Actin-related protein 5	H	Q9H9F9	6281#6302#6310#6351#6355#6974#16579#70914	5515	RuvB-like 1	A	Q9Y265	492#6281#6310#6325#6338#6351#6355#6357#6974#7049#7283#16579#32508#34080#40008#43967#43968#51301#90263#1903508#1904837#1904874	166#1094#3678#3713#4003#4386#5515#5524#16787#16887#17025#43141#43531#45296#51117	6etx	nucleosome	94
DNA helicase INO80	G	Q9ULG1	6281#6338#6351	3677#5524#16887	RuvB-like 1	A	Q9Y265	492#6281#6310#6325#6338#6351#6355#6357#6974#7049#7283#16579#32508#34080#40008#43967#43968#51301#90263#1903508#1904837#1904874	166#1094#3678#3713#4003#4386#5515#5524#16787#16887#17025#43141#43531#45296#51117	6etx	nucleosome	2037.0
DNA helicase INO80	G	Q9ULG1	6281#6338#6351	3677#5524#16887	RuvB-like 2	B	Q9Y230	492#6281#6310#6325#6338#6351#6355#6457#6974#32508#34644#35066#40008#43967#43968#45944#71169#71392#71733#71899#90090#1903507#1904874	166#979#980#1094#3678#3714#4003#4386#5515#5524#8013#16787#16887#17025#31490#42802#42803#43141#43531#51082#51117	6etx	nucleosome	1756
h2a					55 kDa immediate-early protein 1	K	P03169	NA	NA	5e5a	nucleosome	184
h2a					Gag polyprotein	M	P14349	19076#46718#75521	NA	5mlu	nucleosome	282
h2a					NA	I	G0S590	6338	NA	6fml	nucleosome	2.0
h2a					NA	A	NA	NA	3677#46982	5gxq	nucleosome	501
h2a					NA	U	Q66LH7	51382	19237	4x23	nucleosome	317
h2a					NA	K	Q9DUM3	NA	NA	1zla	nucleosome	189
h2a					P61077:#Ubiquitin-conjugating enzyme E2 D3#Q99496:#E3 ubiquitin-protein ligase RING2	L	P61077#Q99496	122#209#6281#6464#6511#6513#6625#6915#6974#16567#30509#43161#51865#70936#70979#1903955	166#4842#5515#5524#16740#61631	4r8p	nucleosome	405
h2a					Polyubiquitin-B	M	P0CG47	NA	NA	5kgf	nucleosome	75
h2a					Protein ORF73	K	Q9QR71	NA	NA	5gtc	nucleosome	195
h2a					Regulator of chromosome condensation	L	P25171	NA	NA	3mvd	nucleosome	384
h2a					Regulatory protein SIR3	K	P06701	NA	3682	3tu4|4ld9	nucleosome	616
h2a					RuvB-like helicase	E	G0RYC2	492#6281#6325#6338#6351#6355#6357#6364#6974#32508#43486	166#3678#4386#5515#5524#16787#43140#43141	6fml	nucleosome	16
h2a					SAGA-associated factor 11	b	A6ZWK1	NA	NA	4zux	nucleosome	328
h2a					TP53-binding protein 1	L	Q12888	NA	NA	5kgf	nucleosome	298
h2a					Ubiquitin carboxyl-terminal hydrolase 8	U	P50102	6351#6355#6508#6511#8380#16578#16579#34729#51568	4843#5515#8233#8234#8270#16787#32947#36459#46872	4zux	nucleosome	2
h2b					55 kDa immediate-early protein 1	K	P03169	NA	NA	5e5a	nucleosome	262
h2b					Centromere protein N	K	Q96H22	7059#51382	NA	6c0w	nucleosome	11
h2b					Gag polyprotein	M	P14349	19076#46718#75521	NA	5mlu	nucleosome	165
h2b					Guanine nucleotide exchange factor SRM1	K	P21827	54#6407#7049#16973#19236#51301	5085#5087	5hq2	nucleosome	70
h2b					NA	I	G0S590	6338	NA	6fml	nucleosome	40
h2b					NA	G	NA	6281#6338#6351	3677#5524#16887	6fml	nucleosome	4
h2b					NA	U	Q66LH7	51382	19237	4x23	nucleosome	155
h2b					NA	K	Q9DUM3	NA	NA	1zla	nucleosome	201
h2b					P61077:#Ubiquitin-conjugating enzyme E2 D3#Q99496:#E3 ubiquitin-protein ligase RING2	L	P61077#Q99496	122#209#6281#6464#6511#6513#6625#6915#6974#16567#30509#43161#51865#70936#70979#1903955	166#4842#5515#5524#16740#61631	4r8p	nucleosome	158
h2b					Polycomb complex protein BMI-1	K	P35226	NA	NA	4r8p	nucleosome	20
h2b					Polyubiquitin-B	c	P0CG47	NA	NA	4zux	nucleosome	14
h2b					Polyubiquitin-B	M	P0CG47	NA	NA	5kgf	nucleosome	98
h2b					Protein ORF73	K	Q9QR71	NA	NA	5gtc	nucleosome	178
h2b					Regulator of chromosome condensation	L	P25171	NA	NA	3mvd	nucleosome	184
h2b					Regulatory protein SIR3	K	P06701	NA	3682	3tu4|4ld9	nucleosome	1498
h2b					RuvB-like helicase	E	G0RYC2	492#6281#6325#6338#6351#6355#6357#6364#6974#32508#43486	166#3678#4386#5515#5524#16787#43140#43141	6fml	nucleosome	2
h2b					SAGA-associated factor 11	b	A6ZWK1	NA	NA	4zux	nucleosome	253
h2b					TP53-binding protein 1	L	Q12888	NA	NA	5kgf	nucleosome	323
h2b					Ubiquitin carboxyl-terminal hydrolase 8	U	P50102	6351#6355#6508#6511#8380#16578#16579#34729#51568	4843#5515#8233#8234#8270#16787#32947#36459#46872	4zux	nucleosome	318
h3					Centromere protein N	K	Q96H22	7059#51382	NA	6c0w	nucleosome	112
h3					Chromo domain-containing protein 1	W	P32657	1178#6325#6351#6355#6363#6368#6369#16584#34728#42766#43044#60303#71441#71894#1900050#1902275#2000104#2000616	166#182#3677#4386#5524#8094#16787#31490#35064#44212#70615	5o9g	nucleosome	6.0000000000
h3					DNA helicase INO80	G	Q9ULG1	6281#6338#6351	3677#5524#16887	6etx	nucleosome	6
h3					Gag polyprotein	M	P14349	19076#46718#75521	NA	5mlu	nucleosome	142
h3					NA	J	G0S589	NA	NA	6fml	nucleosome	1
h3					NA	I	G0S590	6338	NA	6fml	nucleosome	2
h3					NA	V	Q66LH7	51382	19237	4x23	nucleosome	215
h3					P0AEY0:#Maltose-binding periplasmic protein#Q96H22:#Centromere protein N	N	P0AEY0#Q96H22	7059#8643#51382#55085	15144	6buz	nucleosome	61
h3					Polycomb complex protein BMI-1	K	P35226	NA	NA	4r8p	nucleosome	157
h3					Polyubiquitin-B	X	P0CG47	NA	NA	4zux	nucleosome	2
h3					Regulatory protein SIR3	K	P06701	NA	3682	3tu4|4ld9	nucleosome	770
h3					Transcription regulatory protein SNF2	O	P22082	NA	5524#42393	5x0y	nucleosome	33
h4					Centromere protein N	K	Q96H22	7059#51382	NA	6c0w	nucleosome	32
h4					Chromo domain-containing protein 1	W	P32657	1178#6325#6351#6355#6363#6368#6369#16584#34728#42766#43044#60303#71441#71894#1900050#1902275#2000104#2000616	166#182#3677#4386#5524#8094#16787#31490#35064#44212#70615	5o9g	nucleosome	105
h4					N-lysine methyltransferase KMT5A	M	Q9NQR1	NA	18024	5hq2	nucleosome	228
h4					NA	J	G0S589	NA	NA	6fml	nucleosome	2
h4					NA	A	NA	NA	3677#46982	5gxq	nucleosome	2809
h4					NA	V	Q66LH7	51382	19237	4x23	nucleosome	69
h4					P61077:#Ubiquitin-conjugating enzyme E2 D3#Q99496:#E3 ubiquitin-protein ligase RING2	L	P61077#Q99496	122#209#6281#6464#6511#6513#6625#6915#6974#16567#30509#43161#51865#70936#70979#1903955	166#4842#5515#5524#16740#61631	4r8p	nucleosome	16
h4					Polycomb complex protein BMI-1	K	P35226	NA	NA	4r8p	nucleosome	28
h4					Regulatory protein SIR3	K	P06701	NA	3682	3tu4|4ld9	nucleosome	1951
