PDB	CHAIN	ORGANISM	PROCESS	FUNCTION	UNIPROT	NAME
1a7w	A	Methanothermus fervidus	6265#51260	3677#3690#42803#46982	P19267	DNA-binding protein HMf-2
1aoi	I	NA	NA	NA	NA	NA
1aoi	J	NA	NA	NA	NA	NA
1aoi	D	Xenopus laevis	NA	3677#46982	P02281	Histone H2B 1.1
1aoi	H	Xenopus laevis	NA	3677#46982	P02281	Histone H2B 1.1
1aoi	A	Xenopus laevis	NA	3677#46982	P02302	Histone H3.3C
1aoi	E	Xenopus laevis	NA	3677#46982	P02302	Histone H3.3C
1aoi	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1aoi	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
1aoi	B	Xenopus laevis	6352	3677#46982	P62799	Histone H4
1aoi	F	Xenopus laevis	6352	3677#46982	P62799	Histone H4
1b67	A	Methanothermus fervidus	6265	3677#3690#42803#46982	P48781	DNA-binding protein HMf-1
1b67	B	Methanothermus fervidus	6265	3677#3690#42803#46982	P48781	DNA-binding protein HMf-1
1b6w	A	Methanothermus fervidus	6265#51260	3677#3690#42803#46982	P19267	DNA-binding protein HMf-2
1bby	A	Homo sapiens	6366#6367	NA	P13984	General transcription factor IIF subunit 2
1bfm	A	Methanothermus fervidus	6265#51260	3677#3690#42803#46982	P19267	DNA-binding protein HMf-2
1bfm	B	Methanothermus fervidus	6265#51260	3677#3690#42803#46982	P19267	DNA-binding protein HMf-2
1bh8	A	Homo sapiens	6366	46982	Q15543	Transcription initiation factor TFIID subunit 13
1bh8	B	Homo sapiens	6367	46982	Q15544	Transcription initiation factor TFIID subunit 11
1bh9	A	Homo sapiens	6366	46982	Q15543	Transcription initiation factor TFIID subunit 13
1bh9	B	Homo sapiens	6367	46982	Q15544	Transcription initiation factor TFIID subunit 11
1bob	A	Saccharomyces cerevisiae	6325#6348#16573	4402#42393	Q12341	Histone acetyltransferase type B catalytic subunit
1c3p	A	Aquifex aeolicus	45149	46872	O67135	NA
1c3r	A	Aquifex aeolicus	45149	46872	O67135	NA
1c3r	B	Aquifex aeolicus	45149	46872	O67135	NA
1c3s	A	Aquifex aeolicus	45149	46872	O67135	NA
1cg7	A	Saccharomyces cerevisiae	1195#6281#6298#6338#6351#6355#6974#34724#51123#65004#70898	3677#5515#8301#31491	P11632	Non-histone chromosomal protein 6A
1cm0	A	Homo sapiens	NA	4402	Q92831	Histone acetyltransferase KAT2B
1cm0	B	Homo sapiens	NA	4402	Q92831	Histone acetyltransferase KAT2B
1cs9	A	Homo sapiens	NA	NA	NA	NA
1ct6	A	Homo sapiens	NA	NA	NA	NA
1cvq	A	NA	NA	NA	NA	NA
1cw8	A	NA	NA	NA	NA	NA
1cwz	A	NA	NA	NA	NA	NA
1dp7	D	NA	NA	NA	NA	NA
1dp7	P	Homo sapiens	6355	3677	P22670	MHC class II regulatory factor RFX1
1e6i	P	Saccharomyces cerevisiae	NA	NA	P02309	Histone H4
1e6i	A	Saccharomyces cerevisiae	NA	35064	Q03330	Histone acetyltransferase GCN5
1eqf	A	Homo sapiens	NA	NA	P21675	Transcription initiation factor TFIID subunit 1
1eqz	I	NA	NA	NA	NA	NA
1eqz	J	NA	NA	NA	NA	NA
1eqz	A	Gallus gallus	6342	3677#46982	P02263	Histone H2A-IV
1eqz	E	Gallus gallus	6342	3677#46982	P02263	Histone H2A-IV
1eqz	B	Gallus gallus	6334	3677#46982	P0C1H5	Histone H2B 7
1eqz	F	Gallus gallus	6334	3677#46982	P0C1H5	Histone H2B 7
1eqz	D	Gallus gallus	6334#6335#6336#6352#45653#51290	3677#19904#42393#46982	P62801	Histone H4
1eqz	H	Gallus gallus	6334#6335#6336#6352#45653#51290	3677#19904#42393#46982	P62801	Histone H4
1eqz	C	Gallus gallus	122#6334	3677#3682#31492#46982	P84229	Histone H3.2
1eqz	G	Gallus gallus	122#6334	3677#3682#31492#46982	P84229	Histone H3.2
