target_name	target_chain	target_UNIPROT	target_pathway	target_function	target_organism	source_name	source_chain	source_UNIPROT	source_pathway	source_function	source_organism	interface_PDB_IDs	type	atomic_count	log(atomic_count)
DNA		DNA				ACTR5		G0S590	6338	NA	Chaetomium thermophilum	6fml	DNA	59	1.77085201164214
DNA		DNA				CENPN		Q96H22	7059#51382	NA	Homo sapiens	6c0w|6buz	DNA	44.5	1.64836001098093
DNA		DNA				Chd1		P32657	1178#6325#6351#6355#6363#6368#6369#16584#34728#42766#43044#60303#71441#71894#1900050#1902275#2000104#2000616	166#182#3677#4386#5524#8094#16787#31490#35064#44212#70615	Saccharomyces cerevisiae	5o9g	DNA	237	2.3747483460101
DNA		DNA				INO80		Ino80	6281#6338#6351	3677#5524#16887	Chaetomium thermophilum	6fml|6etx	DNA	108.5	2.03542973818455
DNA		DNA				KMT5A		Q9NQR1	NA	18024	Homo sapiens	5hq2	DNA	86	
DNA		DNA				RCC		P25171	NA	NA	Drosophila melanogaster	3mvd	DNA	42	1.6232492903979
DNA		DNA				RNF2	L	P61077#Q99496	122#209#6281#6464#6511#6513#6625#6915#6974#16567#30509#43161#51865#70936#70979#1903955	166#4842#5515#5524#16740#61631	Homo sapiens	4r8p	DNA	49	1.69019608002851
DNA		DNA				Sir3		P06701	NA	3682	Saccharomyces cerevisiae	3tu4|4ld9|4jjn|4kud	DNA	23	1.36172783601759
DNA		DNA				Snf2		P22082	NA	5524#42393	Saccharomyces cerevisiae	5x0y|5x0x	DNA	144	2.15836249209525
DNA		DNA				SUS1		Q6WNK7	NA	NA	Saccharomyces cerevisiae	4zux	DNA	2	0.301029995663981
DNA		DNA				UBP8		P50102	6351#6355#6508#6511#8380#16578#16579#34729#51568	4843#5515#8233#8234#8270#16787#32947#36459#46872	Saccharomyces cerevisiae	4zux	DNA	30	1.47712125471966
BMI-1	K	P35226	NA	NA	Homo sapiens	RNF2	L	P61077#Q99496	122#209#6281#6464#6511#6513#6625#6915#6974#16567#30509#43161#51865#70936#70979#1903955	166#4842#5515#5524#16740#61631	Homo sapiens	4r8p		432	
DNA		DNA				H1/H5		P02259#P22844			Gallus gallus#Xenopus laevis	4qlc#5nl0	DNA	112	
Polyubiquitin-B	c	P0CG47	NA	NA	Homo sapiens	UBP8	Z	P50102	6351#6355#6508#6511#8380#16578#16579#34729#51568	4843#5515#8233#8234#8270#16787#32947#36459#46872	Saccharomyces cerevisiae	4zux		460	
RuvB-like 1	A	Q9Y265	492#6281#6310#6325#6338#6351#6355#6357#6974#7049#7283#16579#32508#34080#40008#43967#43968#51301#90263#1903508#1904837#1904874	166#1094#3678#3713#4003#4386#5515#5524#16787#16887#17025#43141#43531#45296#51117	Homo sapiens	ACTR5	H,I,J	Q9H9F9,G0S590,G0S589	6281#6302#6310#6351#6355#6974#16579#70914,6338,NA	5515,NA,NA	Homo sapiens,Chaetomium thermophilum,Chaetomium thermophilum	6etx,6fml,6fml		24	
