structureId	chainId	structureTitle	depositionDate	uniprotAcc	uniprotRecommendedName
1A7W	A	CRYSTAL STRUCTURE OF THE HISTONE HMFB FROM METHANOTHERMUS FERVIDUS	1998-03-18	P19267	DNA-binding protein HMf-2
1AOI	C	COMPLEX BETWEEN NUCLEOSOME CORE PARTICLE (H3,H4,H2A,H2B) AND 146 BP LONG DNA FRAGMENT	1997-07-03	P06897	Histone H2A type 1
1AOI	G	COMPLEX BETWEEN NUCLEOSOME CORE PARTICLE (H3,H4,H2A,H2B) AND 146 BP LONG DNA FRAGMENT	1997-07-03	P06897	Histone H2A type 1
1AOI	D	COMPLEX BETWEEN NUCLEOSOME CORE PARTICLE (H3,H4,H2A,H2B) AND 146 BP LONG DNA FRAGMENT	1997-07-03	P02281	Histone H2B 1.1
1AOI	H	COMPLEX BETWEEN NUCLEOSOME CORE PARTICLE (H3,H4,H2A,H2B) AND 146 BP LONG DNA FRAGMENT	1997-07-03	P02281	Histone H2B 1.1
1AOI	A	COMPLEX BETWEEN NUCLEOSOME CORE PARTICLE (H3,H4,H2A,H2B) AND 146 BP LONG DNA FRAGMENT	1997-07-03	P02302	Histone H3.3C
1AOI	E	COMPLEX BETWEEN NUCLEOSOME CORE PARTICLE (H3,H4,H2A,H2B) AND 146 BP LONG DNA FRAGMENT	1997-07-03	P02302	Histone H3.3C
1AOI	B	COMPLEX BETWEEN NUCLEOSOME CORE PARTICLE (H3,H4,H2A,H2B) AND 146 BP LONG DNA FRAGMENT	1997-07-03	P62799	Histone H4
1AOI	F	COMPLEX BETWEEN NUCLEOSOME CORE PARTICLE (H3,H4,H2A,H2B) AND 146 BP LONG DNA FRAGMENT	1997-07-03	P62799	Histone H4
1AOI	I	COMPLEX BETWEEN NUCLEOSOME CORE PARTICLE (H3,H4,H2A,H2B) AND 146 BP LONG DNA FRAGMENT	1997-07-03	NA	NA
1AOI	J	COMPLEX BETWEEN NUCLEOSOME CORE PARTICLE (H3,H4,H2A,H2B) AND 146 BP LONG DNA FRAGMENT	1997-07-03	NA	NA
1B67	A	CRYSTAL STRUCTURE OF THE HISTONE HMFA FROM METHANOTHERMUS FERVIDUS	1999-01-19	P48781	DNA-binding protein HMf-1
1B67	B	CRYSTAL STRUCTURE OF THE HISTONE HMFA FROM METHANOTHERMUS FERVIDUS	1999-01-19	P48781	DNA-binding protein HMf-1
1B6W	A	CRYSTAL STRUCTURE OF THE SELENOMETHIONINE VARIANT OF HISTONE HMFB FROM METHANOTHERMUS FERVIDUS	1999-01-19	P19267	DNA-binding protein HMf-2
1BBY	A	DNA-BINDING DOMAIN FROM HUMAN RAP30, NMR, MINIMIZED AVERAGE	1998-04-26	P13984	General transcription factor IIF subunit 2
1BFM	A	HISTONE B FROM METHANOTHERMUS FERVIDUS	1995-09-28	P19267	DNA-binding protein HMf-2
1BFM	B	HISTONE B FROM METHANOTHERMUS FERVIDUS	1995-09-28	P19267	DNA-binding protein HMf-2
1BH8	B	HTAFII18/HTAFII28 HETERODIMER CRYSTAL STRUCTURE	1998-06-16	Q15544	Transcription initiation factor TFIID subunit 11
1BH8	A	HTAFII18/HTAFII28 HETERODIMER CRYSTAL STRUCTURE	1998-06-16	Q15543	Transcription initiation factor TFIID subunit 13
1BH9	B	HTAFII18/HTAFII28 HETERODIMER CRYSTAL STRUCTURE WITH BOUND PCMBS	1998-06-16	Q15544	Transcription initiation factor TFIID subunit 11
1BH9	A	HTAFII18/HTAFII28 HETERODIMER CRYSTAL STRUCTURE WITH BOUND PCMBS	1998-06-16	Q15543	Transcription initiation factor TFIID subunit 13
1BOB	A	HISTONE ACETYLTRANSFERASE HAT1 FROM SACCHAROMYCES CEREVISIAE IN COMPLEX WITH ACETYL COENZYME A	1998-07-02	Q12341	Histone acetyltransferase type B catalytic subunit
1C3P	A	CRYSTAL STRUCTURE OF AN HDAC HOMOLOG FROM AQUIFEX AEOLICUS	1999-07-28	O67135	NA
1C3R	A	CRYSTAL STRUCTURE OF AN HDAC HOMOLOG COMPLEXED WITH TRICHOSTATIN A	1999-07-28	O67135	NA
1C3R	B	CRYSTAL STRUCTURE OF AN HDAC HOMOLOG COMPLEXED WITH TRICHOSTATIN A	1999-07-28	O67135	NA
