"4N0C","A","Mus musculus","P01897","H-2 class I histocompatibility antigen, L-D alpha chain",""
"4N0C","B","","","",""
"4N0C","C","Homo sapiens,Mus musculus","A0A0G2JFA3#P01738#P01848","null#P01738:#T-cell receptor alpha chain V region PHDS58#P01848:#T cell receptor alpha constant",""
"4N0C","D","Homo sapiens,Mus musculus","A0A075B5I3#A0A0A6YX08#A0A5B9","null#null#A0A5B9:#T cell receptor beta constant 2",""
"4N0C","E","Mus musculus","P01897","H-2 class I histocompatibility antigen, L-D alpha chain",""
"4N0C","F","","","",""
"4N0C","G","Homo sapiens,Mus musculus","A0A0G2JFA3#P01738#P01848","null#P01738:#T-cell receptor alpha chain V region PHDS58#P01848:#T cell receptor alpha constant",""
"4N0C","H","Homo sapiens,Mus musculus","A0A075B5I3#A0A0A6YX08#A0A5B9","null#null#A0A5B9:#T cell receptor beta constant 2",""
"6IGK","A","Homo sapiens,Escherichia virus T4","A0A097J809#P24530","A0A097J809:#Endolysin#P24530:#Endothelin receptor type B","A0A097J809:#Lysis protein#Lysozyme#Muramidase#P24530:#Endothelin receptor non-selective type"
"6IGK","B","Homo sapiens","P14138","Endothelin-3","Preproendothelin-3"
"6IGL","A","Homo sapiens,Escherichia virus T4","A0A097J809#P24530","A0A097J809:#Endolysin#P24530:#Endothelin receptor type B","A0A097J809:#Lysis protein#Lysozyme#Muramidase#P24530:#Endothelin receptor non-selective type"
"6IGL","B","Homo sapiens","","",""
"4UDU","A","Homo sapiens","A0A0B4J277#P01848","A0A0B4J277:#T cell receptor alpha variable 22#P01848:#T cell receptor alpha constant",""
"4UDU","B","Homo sapiens","A0A5A3#A0A5B9","null#A0A5B9:#T cell receptor beta constant 2",""
"4UDU","C","Staphylococcus aureus","P12993","Enterotoxin type E","SEE"
"5FK9","A","Homo sapiens","A0A0B4J277#P01848","A0A0B4J277:#T cell receptor alpha variable 22#P01848:#T cell receptor alpha constant",""
"5FK9","B","Homo sapiens","A0A5A3#A0A5B9","null#A0A5B9:#T cell receptor beta constant 2",""
"5FK9","C","Staphylococcus aureus","P0A0L2","Enterotoxin type A","SEA"
"6D26","A","Homo sapiens,Escherichia virus T4","D9IEF7#Q9Y5Y4","D9IEF7:#Endolysin#Q9Y5Y4:#Prostaglandin D2 receptor 2","D9IEF7:#Lysis protein#Lysozyme#Muramidase#Q9Y5Y4:#Chemoattractant receptor-homologous molecule expressed on Th2 cells#G-protein coupled receptor 44"
"6D27","A","Homo sapiens,Escherichia virus T4","D9IEF7#Q9Y5Y4","D9IEF7:#Endolysin#Q9Y5Y4:#Prostaglandin D2 receptor 2","D9IEF7:#Lysis protein#Lysozyme#Muramidase#Q9Y5Y4:#Chemoattractant receptor-homologous molecule expressed on Th2 cells#G-protein coupled receptor 44"
"5BJS","A","Chaetomium thermophilum","G0S8H7","",""
"5BJS","B","Chaetomium thermophilum","G0RYC6#G0SDW4","null#null",""
"5KJH","A","Chaetomium thermophilum","G0S8H7","",""
"5KJH","B","Chaetomium thermophilum","G0RYC6#G0SDW4","null#null",""
"5KJH","D","Homo sapiens","P68431","Histone H3.1","Histone H3/a#Histone H3/b#Histone H3/c#Histone H3/d#Histone H3/f#Histone H3/h#Histone H3/i#Histone H3/j#Histone H3/k#Histone H3/l"
"5KJI","A","Chaetomium thermophilum","G0S8H7","",""
"5KJI","B","Chaetomium thermophilum","G0RYC6#G0SDW4","null#null",""
"5KKL","A","Chaetomium thermophilum","G0S8H7","",""
"5KKL","B","Homo sapiens,Chaetomium thermophilum","G0RYC6#G0SDW4#P68431","null#null#P68431:#Histone H3.1","P68431:#Histone H3/a#Histone H3/b#Histone H3/c#Histone H3/d#Histone H3/f#Histone H3/h#Histone H3/i#Histone H3/j#Histone H3/k#Histone H3/l"
"5KKL","D","Homo sapiens","P68431","Histone H3.1","Histone H3/a#Histone H3/b#Histone H3/c#Histone H3/d#Histone H3/f#Histone H3/h#Histone H3/i#Histone H3/j#Histone H3/k#Histone H3/l"
"5TQR","A","Chaetomium thermophilum","G0S8H7","",""
"5TQR","B","Chaetomium thermophilum","G0RYC6#G0SDW4","null#null",""
"5VK3","A","Chaetomium thermophilum","G0S8H7","",""
"5VK3","B","Chaetomium thermophilum","G0RYC6#G0SDW4","null#null",""
"5WF7","A","Chaetomium thermophilum","G0S8H7","",""
"5WF7","B","Chaetomium thermophilum","G0RYC6#G0SDW4","null#null",""
"5WFC","A","Chaetomium thermophilum","G0S8H7","",""
"5WFC","B","Chaetomium thermophilum","G0RYC6#G0SDW4","null#null",""
