Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - 1E6IA	specific	99941	13	113	6.35332e-56	172.354	cd05509	Bromo_gcn5_like	 - 	cl02556
Q#3 - 1GUWA	specific	306815	20	63	1.13888e-11	55.3361	pfam00385	Chromo	 - 	cl17459
Q#4 - 1GUWB	superfamily	329044	1	16	0.0068424	29.8729	cl23735	H4 superfamily	C	 - 
Q#5 - 1KNAA	specific	306815	17	64	2.08079e-12	57.2621	pfam00385	Chromo	 - 	cl17459
Q#7 - 1KNEA	specific	306815	17	64	2.08079e-12	57.2621	pfam00385	Chromo	 - 	cl17459
Q#9 - 1M1DA	superfamily	321986	15	153	1.16662e-25	101.035	cl02556	Bromodomain superfamily	C	 - 
Q#10 - 1M1DB	superfamily	329044	1	20	0.000964724	32.9545	cl23735	H4 superfamily	C	 - 
Q#11 - 1M1DC	superfamily	321986	15	153	1.16662e-25	101.035	cl02556	Bromodomain superfamily	C	 - 
Q#12 - 1M1DD	superfamily	329044	1	20	0.000964724	32.9545	cl23735	H4 superfamily	C	 - 
Q#13 - 1O9SA	specific	214614	119	235	8.39552e-12	60.8111	smart00317	SET	 - 	cl02566
Q#14 - 1O9SB	specific	214614	119	235	8.39552e-12	60.8111	smart00317	SET	 - 	cl02566
Q#17 - 1PDQA	specific	214605	20	72	1.79078e-10	52.216	smart00298	CHROMO	 - 	cl17459
Q#19 - 1PEGA	specific	214614	133	267	3.04709e-30	112.813	smart00317	SET	 - 	cl02566
Q#19 - 1PEGA	specific	309948	10	125	2.34604e-20	84.7615	pfam05033	Pre-SET	 - 	cl02622
Q#20 - 1PEGB	specific	214614	133	267	3.04709e-30	112.813	smart00317	SET	 - 	cl02566
Q#20 - 1PEGB	specific	309948	10	125	2.34604e-20	84.7615	pfam05033	Pre-SET	 - 	cl02622
Q#23 - 1PFBA	specific	214605	3	55	7.77803e-10	49.9048	smart00298	CHROMO	 - 	cl17459
Q#25 - 1PU9A	superfamily	321986	15	153	1.16662e-25	101.035	cl02556	Bromodomain superfamily	C	 - 
Q#26 - 1PU9B	superfamily	329044	1	19	0.0011933	32.5693	cl23735	H4 superfamily	C	 - 
Q#27 - 1PUAA	superfamily	321986	15	153	1.16662e-25	101.035	cl02556	Bromodomain superfamily	C	 - 
Q#28 - 1PUAB	superfamily	329044	1	19	0.00581106	30.6433	cl23735	H4 superfamily	C	 - 
Q#29 - 1Q1AA	specific	238699	22	273	7.4972e-135	385.061	cd01408	SIRT1	 - 	cl00195
Q#31 - 1Q2CA	superfamily	321986	14	152	1.33678e-25	101.035	cl02556	Bromodomain superfamily	C	 - 
Q#33 - 1Q3LA	specific	306815	17	64	2.08079e-12	57.2621	pfam00385	Chromo	 - 	cl17459
Q#35 - 1QSNA	superfamily	321986	14	152	1.33678e-25	101.035	cl02556	Bromodomain superfamily	C	 - 
Q#37 - 1S5PA	specific	234777	2	232	8.72658e-134	380.294	PRK00481	PRK00481	 - 	cl00195
Q#39 - 1SZCA	specific	238699	29	280	2.68118e-135	386.602	cd01408	SIRT1	 - 	cl00195
Q#41 - 1SZDA	specific	238699	29	280	2.68118e-135	386.602	cd01408	SIRT1	 - 	cl00195
Q#43 - 1YDPA	specific	278555	1	178	9.40127e-119	341.68	pfam00129	MHC_I	 - 	cl08246
Q#43 - 1YDPA	specific	143322	182	273	1.64172e-42	143.582	cd07698	IgC_MHC_I_alpha3	 - 	cl11960
Q#44 - 1YDPB	specific	143247	5	97	8.01979e-57	173.821	cd05770	IgC_beta2m	 - 	cl11960
Q#46 - 1ZKKA	specific	214614	39	156	3.60586e-28	103.568	smart00317	SET	 - 	cl02566
Q#47 - 1ZKKB	specific	214614	39	156	3.60586e-28	103.568	smart00317	SET	 - 	cl02566
Q#48 - 1ZKKC	specific	214614	39	156	3.60586e-28	103.568	smart00317	SET	 - 	cl02566
